"Year","Team","Position","WAA"
2015,"CLE","C",0.1
2015,"COL","C",-0.3
2015,"DET","C",-1.1
2015,"HOU","C",0.3
2015,"KCR","C",-0.3
2015,"LAA","C",0
2015,"LAD","C",1.2
2015,"MIA","C",-0.7
2015,"MIL","C",-1.3
2015,"MIN","C",-1.5
2015,"NYM","C",-0.3
2015,"NYY","C",0.6
2015,"OAK","C",1.5
2015,"PHI","C",-1.5
2015,"PIT","C",1.7
2015,"SDP","C",-0.5
2015,"SEA","C",-4.1
2015,"SFG","C",1.7
2015,"STL","C",-0.9
2015,"TBR","C",-2.6
2015,"TEX","C",0.1
2015,"TOR","C",0.7
2015,"WSN","C",-1.6
2016,"ARI","C",0
2016,"ATL","C",-2.2
2016,"BAL","C",-1.3
2016,"BOS","C",-0.3
2016,"CHC","C",0.1
2016,"CHW","C",-1.9
2016,"CIN","C",-1.2
2016,"CLE","C",-2.7
2016,"COL","C",-0.6
2016,"DET","C",-1.6
2016,"HOU","C",-0.5
2016,"KCR","C",0.6
2016,"LAA","C",0
2016,"LAD","C",0.7
2016,"MIA","C",0.8
2016,"MIL","C",0.8
2016,"MIN","C",-1.6
2016,"NYM","C",-1.7
2016,"NYY","C",0.4
2016,"OAK","C",0
2016,"PHI","C",0.5
2016,"PIT","C",-1.5
2016,"SDP","C",-1.8
2016,"SEA","C",0.2
2016,"SFG","C",2
2016,"STL","C",0.9
2016,"TBR","C",-1.3
2016,"TEX","C",0.1
2016,"TOR","C",-1.3
2016,"WSN","C",1.7
2017,"ARI","C",-1.1
2017,"ATL","C",2.2
2017,"BAL","C",2
2017,"BOS","C",-0.7
2017,"CHC","C",2.4
2017,"CHW","C",-1
2017,"CIN","C",0.7
2017,"CLE","C",-0.1
2017,"COL","C",-1.5
2017,"DET","C",0.2
2017,"HOU","C",-1.1
2017,"KCR","C",-0.3
2017,"LAA","C",-0.5
2017,"LAD","C",1.6
2017,"MIA","C",2.3
2017,"MIL","C",-0.1
2017,"MIN","C",1
2017,"NYM","C",-0.3
2017,"NYY","C",0.3
2017,"OAK","C",-2
2017,"PHI","C",0.1
2017,"PIT","C",-1.8
2017,"SDP","C",-2.2
2017,"SEA","C",1.3
2017,"SFG","C",1.1
2017,"STL","C",-0.8
2017,"TBR","C",-1.7
2017,"TEX","C",-0.3
2017,"TOR","C",-1.3
2017,"WSN","C",-3.7
2018,"ARI","C",-1.5
2018,"ATL","C",0
2018,"BAL","C",-1.8
2018,"BOS","C",-3.4
2018,"CHC","C",0.8
2018,"CHW","C",0.1
2018,"CIN","C",-0.6
2018,"CLE","C",-0.1
2018,"COL","C",-2
2018,"DET","C",-2.9
2018,"HOU","C",-0.4
2018,"KCR","C",-1.2
2018,"LAA","C",-0.8
2018,"LAD","C",1.6
2018,"MIA","C",1.8
2018,"MIL","C",-0.8
2018,"MIN","C",-0.6
2018,"NYM","C",-1.2
2018,"NYY","C",-0.1
2018,"OAK","C",-2.2
2018,"PHI","C",-0.1
2018,"PIT","C",2.2
2018,"SDP","C",-0.3
2018,"SEA","C",-0.2
2018,"SFG","C",0.7
2018,"STL","C",-2
2018,"TBR","C",-0.3
2018,"TEX","C",-0.7
2018,"TOR","C",0.5
2018,"WSN","C",-2.4
2019,"ARI","C",1
2019,"ATL","C",-2.1
2019,"BAL","C",-1
2019,"BOS","C",-0.9
2019,"CHC","C",0.7
2019,"CHW","C",0.7
2019,"CIN","C",-0.2
2019,"CLE","C",1.7
2019,"COL","C",-1.4
2019,"DET","C",-4.1
2019,"HOU","C",1.5
2019,"KCR","C",-0.8
2019,"LAA","C",-2.8
2019,"LAD","C",0.2
2019,"MIA","C",-0.4
2019,"MIL","C",0.5
2019,"MIN","C",1.9
2019,"NYM","C",-1.2
2019,"NYY","C",1.1
2019,"OAK","C",-1.4
2019,"PHI","C",1.9
2019,"PIT","C",-1.6
2019,"SDP","C",-2.1
2019,"SEA","C",1.9
2019,"SFG","C",-0.7
2019,"STL","C",-0.2
2019,"TBR","C",-1.6
2019,"TEX","C",-3.8
2019,"TOR","C",-0.6
2019,"WSN","C",-0.7
2015,"ARI","1B",6
2015,"ATL","1B",0.5
2015,"BAL","1B",1
2015,"BOS","1B",-0.9
2015,"CHC","1B",4.4
2015,"CHW","1B",-0.2
2015,"CIN","1B",5.5
2015,"CLE","1B",-2.3
2015,"COL","1B",-2.1
2015,"DET","1B",1.4
2015,"HOU","1B",-0.6
2015,"KCR","1B",1.8
2015,"LAA","1B",-0.3
2015,"LAD","1B",2.6
2015,"MIA","1B",-2
2015,"MIL","1B",1.6
2015,"MIN","1B",-1.2
2015,"NYM","1B",0.7
2015,"NYY","1B",1.2
2015,"OAK","1B",-0.9
2015,"PHI","1B",-3.6
2015,"PIT","1B",-2.4
2015,"SDP","1B",0.7
2015,"SEA","1B",-2.2
2015,"SFG","1B",2.9
2015,"STL","1B",-2.2
2015,"TBR","1B",-3.6
2015,"TEX","1B",0.4
2015,"TOR","1B",0.7
2015,"WSN","1B",-1.7
2016,"ARI","1B",2.8
2016,"ATL","1B",4.1
2016,"BAL","1B",0.6
2016,"BOS","1B",0.4
2016,"CHC","1B",4
2016,"CHW","1B",0.7
2016,"CIN","1B",1.9
2016,"CLE","1B",-0.5
2016,"COL","1B",-2
2016,"DET","1B",2.3
2016,"HOU","1B",-1.8
2016,"KCR","1B",-0.9
2016,"LAA","1B",-0.3
2016,"LAD","1B",-0.3
2016,"MIA","1B",-1.5
2016,"MIL","1B",-1.2
2016,"MIN","1B",-0.3
2016,"NYM","1B",-2
2016,"NYY","1B",-3
2016,"OAK","1B",-2.3
2016,"PHI","1B",-2.9
2016,"PIT","1B",-1.1
2016,"SDP","1B",0.9
2016,"SEA","1B",-2.3
2016,"SFG","1B",2.3
2016,"STL","1B",0
2016,"TBR","1B",-0.6
2016,"TEX","1B",-1.3
2016,"TOR","1B",-1.3
2016,"WSN","1B",-2.6
2017,"ARI","1B",3.8
2017,"ATL","1B",2.2
2017,"BAL","1B",-2.3
2017,"BOS","1B",-1
2017,"CHC","1B",2.4
2017,"CHW","1B",2
2017,"CIN","1B",5.8
2017,"CLE","1B",1
2017,"COL","1B",-1.8
2017,"DET","1B",-2.3
2017,"HOU","1B",1
2017,"KCR","1B",1.6
2017,"LAA","1B",-1.5
2017,"LAD","1B",-0.3
2017,"MIA","1B",0.4
2017,"MIL","1B",-0.5
2017,"MIN","1B",1.6
2017,"NYM","1B",-1
2017,"NYY","1B",-2.4
2017,"OAK","1B",1.3
2017,"PHI","1B",-2.3
2017,"PIT","1B",-1.6
2017,"SDP","1B",-0.1
2017,"SEA","1B",-1.6
2017,"SFG","1B",-0.1
2017,"STL","1B",0.7
2017,"TBR","1B",0.4
2017,"TEX","1B",-1.5
2017,"TOR","1B",0.4
2017,"WSN","1B",0.7
2018,"ARI","1B",3.8
2018,"ATL","1B",3.2
2018,"BAL","1B",-5.5
2018,"BOS","1B",-0.6
2018,"CHC","1B",0.7
2018,"CHW","1B",-0.9
2018,"CIN","1B",1.7
2018,"CLE","1B",-0.3
2018,"COL","1B",-2.5
2018,"DET","1B",-1.8
2018,"HOU","1B",0.1
2018,"KCR","1B",-2
2018,"LAA","1B",-2.1
2018,"LAD","1B",2.7
2018,"MIA","1B",-1
2018,"MIL","1B",1.1
2018,"MIN","1B",-1.4
2018,"NYM","1B",-2.3
2018,"NYY","1B",-1.1
2018,"OAK","1B",1.9
2018,"PHI","1B",-0.9
2018,"PIT","1B",-1.5
2018,"SDP","1B",-0.9
2018,"SEA","1B",-2.5
2018,"SFG","1B",0.9
2018,"STL","1B",1.1
2018,"TBR","1B",-0.6
2018,"TEX","1B",-0.7
2018,"TOR","1B",-0.1
2018,"WSN","1B",-0.2
2019,"ARI","1B",0.7
2019,"ATL","1B",1.8
2019,"BAL","1B",-2
2019,"BOS","1B",-1.4
2019,"CHC","1B",1.9
2019,"CHW","1B",-1.4
2019,"CIN","1B",-0.1
2019,"CLE","1B",1.3
2019,"COL","1B",-2.4
2019,"DET","1B",-2.2
2019,"HOU","1B",0.4
2019,"KCR","1B",-4.1
2019,"LAA","1B",-2.1
2019,"LAD","1B",3
2019,"MIA","1B",-1.4
2019,"MIL","1B",-0.9
2019,"MIN","1B",0
2019,"NYM","1B",2.9
2019,"NYY","1B",0.3
2019,"OAK","1B",3.2
2019,"PHI","1B",-0.5
2019,"PIT","1B",0.3
2019,"SDP","1B",-2.3
2019,"SEA","1B",0.4
2019,"SFG","1B",-1.2
2019,"STL","1B",0.1
2019,"TBR","1B",0.3
2019,"TEX","1B",-1.7
2019,"TOR","1B",-2
2019,"WSN","1B",-0.6
2015,"ARI","2B",-1.9
2015,"ATL","2B",-0.9
2015,"BAL","2B",-0.2
2015,"BOS","2B",1.2
2015,"CHC","2B",-0.1
2015,"CHW","2B",-2.7
2015,"CIN","2B",-0.4
2015,"CLE","2B",1.4
2015,"COL","2B",-0.5
2015,"DET","2B",2.2
2015,"HOU","2B",1.8
2015,"KCR","2B",-2.1
2015,"LAA","2B",-1.4
2015,"LAD","2B",0.3
2015,"MIA","2B",2.4
2015,"MIL","2B",-2
2015,"MIN","2B",0.4
2015,"NYM","2B",-1
2015,"NYY","2B",-1.9
2015,"OAK","2B",-0.1
2015,"PHI","2B",-1
2015,"PIT","2B",0.3
2015,"SDP","2B",0.1
2015,"SEA","2B",0.9
2015,"SFG","2B",2.2
2015,"STL","2B",0.6
2015,"TBR","2B",1
2015,"TEX","2B",0
2015,"TOR","2B",1.6
2015,"WSN","2B",-0.6
2016,"ARI","2B",3.5
2016,"ATL","2B",-2.3
2016,"BAL","2B",1.1
2016,"BOS","2B",2.8
2016,"CHC","2B",1.7
2016,"CHW","2B",-0.3
2016,"CIN","2B",-2.3
2016,"CLE","2B",1.4
2016,"COL","2B",3.1
2016,"DET","2B",2.9
2016,"HOU","2B",4.8
2016,"KCR","2B",-1.6
2016,"LAA","2B",-1.8
2016,"LAD","2B",-0.8
2016,"MIA","2B",-0.3
2016,"MIL","2B",-1
2016,"MIN","2B",3.2
2016,"NYM","2B",1
2016,"NYY","2B",-1.1
2016,"OAK","2B",-3.1
2016,"PHI","2B",0.4
2016,"PIT","2B",-0.1
2016,"SDP","2B",1
2016,"SEA","2B",4.7
2016,"SFG","2B",-0.6
2016,"STL","2B",1.4
2016,"TBR","2B",1.6
2016,"TEX","2B",0.2
2016,"TOR","2B",0.6
2016,"WSN","2B",3.2
2017,"ARI","2B",-0.7
2017,"ATL","2B",-0.2
2017,"BAL","2B",3.3
2017,"BOS","2B",0.4
2017,"CHC","2B",0
2017,"CHW","2B",0.9
2017,"CIN","2B",-1
2017,"CLE","2B",1.1
2017,"COL","2B",0.6
2017,"DET","2B",0
2017,"HOU","2B",5.5
2017,"KCR","2B",-0.1
2017,"LAA","2B",-1.9
2017,"LAD","2B",0.8
2017,"MIA","2B",1.1
2017,"MIL","2B",-0.6
2017,"MIN","2B",2.2
2017,"NYM","2B",-0.8
2017,"NYY","2B",-0.3
2017,"OAK","2B",0.8
2017,"PHI","2B",1.1
2017,"PIT","2B",0.2
2017,"SDP","2B",-0.9
2017,"SEA","2B",0
2017,"SFG","2B",-0.7
2017,"STL","2B",0.2
2017,"TBR","2B",-1.4
2017,"TEX","2B",-2.9
2017,"TOR","2B",-1.4
2017,"WSN","2B",1.1
2018,"ARI","2B",1.3
2018,"ATL","2B",2.3
2018,"BAL","2B",0.3
2018,"BOS","2B",-2.5
2018,"CHC","2B",2.4
2018,"CHW","2B",-0.9
2018,"CIN","2B",0.7
2018,"CLE","2B",0.3
2018,"COL","2B",-0.4
2018,"DET","2B",-2.1
2018,"HOU","2B",2.8
2018,"KCR","2B",1.9
2018,"LAA","2B",1.3
2018,"LAD","2B",-1
2018,"MIA","2B",-0.2
2018,"MIL","2B",-0.1
2018,"MIN","2B",-0.7
2018,"NYM","2B",1.6
2018,"NYY","2B",0.7
2018,"OAK","2B",1.9
2018,"PHI","2B",-0.7
2018,"PIT","2B",-0.9
2018,"SDP","2B",-1.4
2018,"SEA","2B",0.9
2018,"SFG","2B",-1.4
2018,"STL","2B",1.6
2018,"TBR","2B",2.8
2018,"TEX","2B",1.1
2018,"TOR","2B",-2
2018,"WSN","2B",-2.5
2019,"ARI","2B",2.5
2019,"ATL","2B",3.1
2019,"BAL","2B",1.2
2019,"BOS","2B",-1.9
2019,"CHC","2B",-1.9
2019,"CHW","2B",-0.8
2019,"CIN","2B",-2.1
2019,"CLE","2B",-0.7
2019,"COL","2B",-1.5
2019,"DET","2B",-3.2
2019,"HOU","2B",1.8
2019,"KCR","2B",-0.7
2019,"LAA","2B",0.7
2019,"LAD","2B",2.2
2019,"MIA","2B",-2
2019,"MIL","2B",0.8
2019,"MIN","2B",0.3
2019,"NYM","2B",-0.8
2019,"NYY","2B",1.9
2019,"OAK","2B",-1.7
2019,"PHI","2B",-0.5
2019,"PIT","2B",-0.2
2019,"SDP","2B",-1.6
2019,"SEA","2B",-0.9
2019,"SFG","2B",-1.9
2019,"STL","2B",4
2019,"TBR","2B",0.8
2019,"TEX","2B",-1.9
2019,"TOR","2B",1.2
2019,"WSN","2B",-0.5
2015,"ARI","3B",-0.3
2015,"ATL","3B",-1.5
2015,"BAL","3B",4.7
2015,"BOS","3B",-2.3
2015,"CHC","3B",2.5
2015,"CHW","3B",-1.9
2015,"CIN","3B",1.2
2015,"CLE","3B",-1.9
2015,"COL","3B",3.9
2015,"DET","3B",-1
2015,"HOU","3B",1.1
2015,"KCR","3B",1.9
2015,"LAA","3B",0.2
2015,"LAD","3B",0.9
2015,"MIA","3B",0.8
2015,"MIL","3B",-1.9
2015,"MIN","3B",0.8
2015,"NYM","3B",-1.3
2015,"NYY","3B",-1.5
2015,"OAK","3B",0.2
2015,"PHI","3B",0
2015,"PIT","3B",0.6
2015,"SDP","3B",-0.7
2015,"SEA","3B",2.8
2015,"SFG","3B",0.7
2015,"STL","3B",2.2
2015,"TBR","3B",1.8
2015,"TEX","3B",2.1
2015,"TOR","3B",4.4
2015,"WSN","3B",0
2016,"ARI","3B",0.6
2016,"ATL","3B",-2.3
2016,"BAL","3B",3.4
2016,"BOS","3B",-1
2016,"CHC","3B",3.3
2016,"CHW","3B",1
2016,"CIN","3B",-0.7
2016,"CLE","3B",0.5
2016,"COL","3B",3.6
2016,"DET","3B",-0.3
2016,"HOU","3B",1.5
2016,"KCR","3B",-1.2
2016,"LAA","3B",-1.2
2016,"LAD","3B",2.6
2016,"MIA","3B",1.6
2016,"MIL","3B",0
2016,"MIN","3B",-1.9
2016,"NYM","3B",-0.8
2016,"NYY","3B",0.3
2016,"OAK","3B",0.4
2016,"PHI","3B",-1.6
2016,"PIT","3B",1
2016,"SDP","3B",1.2
2016,"SEA","3B",4.2
2016,"SFG","3B",0.4
2016,"STL","3B",0.2
2016,"TBR","3B",1.9
2016,"TEX","3B",3.5
2016,"TOR","3B",4.3
2016,"WSN","3B",2.5
2017,"ARI","3B",-0.3
2017,"ATL","3B",-1.3
2017,"BAL","3B",1.3
2017,"BOS","3B",-1.6
2017,"CHC","3B",3.2
2017,"CHW","3B",-0.1
2017,"CIN","3B",1.4
2017,"CLE","3B",1.5
2017,"COL","3B",4.4
2017,"DET","3B",-1.6
2017,"HOU","3B",1.7
2017,"KCR","3B",-1.3
2017,"LAA","3B",-1.8
2017,"LAD","3B",3.6
2017,"MIA","3B",-0.8
2017,"MIL","3B",1.4
2017,"MIN","3B",0.5
2017,"NYM","3B",-1.2
2017,"NYY","3B",0.2
2017,"OAK","3B",1
2017,"PHI","3B",-1.8
2017,"PIT","3B",1
2017,"SDP","3B",-0.7
2017,"SEA","3B",1
2017,"SFG","3B",-3.5
2017,"STL","3B",0.4
2017,"TBR","3B",0.8
2017,"TEX","3B",1.6
2017,"TOR","3B",1.6
2017,"WSN","3B",4
2018,"ARI","3B",-0.6
2018,"ATL","3B",0.2
2018,"BAL","3B",-0.9
2018,"BOS","3B",-2.8
2018,"CHC","3B",1.2
2018,"CHW","3B",-0.2
2018,"CIN","3B",1.7
2018,"CLE","3B",4.8
2018,"COL","3B",3.4
2018,"DET","3B",-0.7
2018,"HOU","3B",3.6
2018,"KCR","3B",-2
2018,"LAA","3B",-2
2018,"LAD","3B",4
2018,"MIA","3B",-0.6
2018,"MIL","3B",1.6
2018,"MIN","3B",-0.5
2018,"NYM","3B",-0.3
2018,"NYY","3B",0.1
2018,"OAK","3B",6.5
2018,"PHI","3B",-2.5
2018,"PIT","3B",-0.9
2018,"SDP","3B",0.5
2018,"SEA","3B",-1.8
2018,"SFG","3B",-0.2
2018,"STL","3B",1.1
2018,"TBR","3B",1.8
2018,"TEX","3B",0
2018,"TOR","3B",-2.1
2018,"WSN","3B",2.5
2019,"ARI","3B",0.9
2019,"ATL","3B",3.5
2019,"BAL","3B",-0.9
2019,"BOS","3B",2.3
2019,"CHC","3B",1.4
2019,"CHW","3B",2.4
2019,"CIN","3B",1.6
2019,"CLE","3B",1
2019,"COL","3B",4.4
2019,"DET","3B",-2.3
2019,"HOU","3B",4.4
2019,"KCR","3B",-0.2
2019,"LAA","3B",-0.1
2019,"LAD","3B",2.7
2019,"MIA","3B",0.2
2019,"MIL","3B",-1.1
2019,"MIN","3B",1.3
2019,"NYM","3B",0.5
2019,"NYY","3B",2.7
2019,"OAK","3B",6
2019,"PHI","3B",-1.2
2019,"PIT","3B",-3.1
2019,"SDP","3B",-0.1
2019,"SEA","3B",0.6
2019,"SFG","3B",0.9
2019,"STL","3B",0.8
2019,"TBR","3B",-1
2019,"TEX","3B",-1.9
2019,"TOR","3B",-1.5
2019,"WSN","3B",4.3
2015,"ARI","SS",-0.9
2015,"ATL","SS",2.6
2015,"BAL","SS",-2.7
2015,"BOS","SS",2
2015,"CHC","SS",-0.5
2015,"CHW","SS",-1
2015,"CIN","SS",0.3
2015,"CLE","SS",1.9
2015,"COL","SS",-1
2015,"DET","SS",-0.5
2015,"HOU","SS",3.7
2015,"KCR","SS",-1.3
2015,"LAA","SS",-0.3
2015,"LAD","SS",-0.2
2015,"MIA","SS",1.2
2015,"MIL","SS",-1.7
2015,"MIN","SS",-2
2015,"NYM","SS",-1.1
2015,"NYY","SS",0.8
2015,"OAK","SS",-0.4
2015,"PHI","SS",-1.9
2015,"PIT","SS",-0.1
2015,"SDP","SS",-1.7
2015,"SEA","SS",-0.6
2015,"SFG","SS",3.6
2015,"STL","SS",-1.2
2015,"TBR","SS",-0.9
2015,"TEX","SS",-0.6
2015,"TOR","SS",-0.1
2015,"WSN","SS",0.1
2016,"ARI","SS",-0.2
2016,"ATL","SS",-1.3
2016,"BAL","SS",1.9
2016,"BOS","SS",1.5
2016,"CHC","SS",2
2016,"CHW","SS",0.2
2016,"CIN","SS",0.1
2016,"CLE","SS",2.7
2016,"COL","SS",2.1
2016,"DET","SS",0.5
2016,"HOU","SS",4.8
2016,"KCR","SS",-1.8
2016,"LAA","SS",2.1
2016,"LAD","SS",3
2016,"MIA","SS",-0.8
2016,"MIL","SS",0.3
2016,"MIN","SS",-1.9
2016,"NYM","SS",1.4
2016,"NYY","SS",0.2
2016,"OAK","SS",1.1
2016,"PHI","SS",-1.1
2016,"PIT","SS",-0.6
2016,"SDP","SS",-3.9
2016,"SEA","SS",-1.9
2016,"SFG","SS",3.4
2016,"STL","SS",1.6
2016,"TBR","SS",-1.6
2016,"TEX","SS",0.7
2016,"TOR","SS",1
2016,"WSN","SS",0.2
2017,"ARI","SS",-0.2
2017,"ATL","SS",-1.9
2017,"BAL","SS",-0.7
2017,"BOS","SS",-0.1
2017,"CHC","SS",0.9
2017,"CHW","SS",-2.6
2017,"CIN","SS",2.4
2017,"CLE","SS",3.2
2017,"COL","SS",0.3
2017,"DET","SS",-1.2
2017,"HOU","SS",5.7
2017,"KCR","SS",-3.2
2017,"LAA","SS",5.5
2017,"LAD","SS",3.4
2017,"MIA","SS",0.5
2017,"MIL","SS",0.6
2017,"MIN","SS",-0.6
2017,"NYM","SS",-2.1
2017,"NYY","SS",1.9
2017,"OAK","SS",-0.3
2017,"PHI","SS",0.1
2017,"PIT","SS",-1.6
2017,"SDP","SS",-1.8
2017,"SEA","SS",0.9
2017,"SFG","SS",-0.2
2017,"STL","SS",-0.1
2017,"TBR","SS",-1.2
2017,"TEX","SS",2.6
2017,"TOR","SS",-1.1
2017,"WSN","SS",1.7
2018,"ARI","SS",2.8
2018,"ATL","SS",0.8
2018,"BAL","SS",1.5
2018,"BOS","SS",2.2
2018,"CHC","SS",1.9
2018,"CHW","SS",0.9
2018,"CIN","SS",0.1
2018,"CLE","SS",5.5
2018,"COL","SS",3.2
2018,"DET","SS",0
2018,"HOU","SS",2
2018,"KCR","SS",-1.3
2018,"LAA","SS",4.1
2018,"LAD","SS",2.3
2018,"MIA","SS",0.2
2018,"MIL","SS",-1.5
2018,"MIN","SS",-0.3
2018,"NYM","SS",-1.9
2018,"NYY","SS",2.9
2018,"OAK","SS",2.4
2018,"PHI","SS",-3
2018,"PIT","SS",-2.6
2018,"SDP","SS",-0.2
2018,"SEA","SS",0.9
2018,"SFG","SS",0.1
2018,"STL","SS",1.7
2018,"TBR","SS",0.7
2018,"TEX","SS",0.7
2018,"TOR","SS",-0.8
2018,"WSN","SS",1.8
2019,"ARI","SS",2.6
2019,"ATL","SS",-0.1
2019,"BAL","SS",-1.4
2019,"BOS","SS",3.4
2019,"CHC","SS",3.6
2019,"CHW","SS",1.4
2019,"CIN","SS",-0.8
2019,"CLE","SS",1.6
2019,"COL","SS",3.6
2019,"DET","SS",-1.8
2019,"HOU","SS",5.1
2019,"KCR","SS",-0.6
2019,"LAA","SS",0.5
2019,"LAD","SS",1.6
2019,"MIA","SS",-0.5
2019,"MIL","SS",-2.4
2019,"MIN","SS",2.3
2019,"NYM","SS",0.1
2019,"NYY","SS",-0.4
2019,"OAK","SS",6.4
2019,"PHI","SS",-0.3
2019,"PIT","SS",0.5
2019,"SDP","SS",3
2019,"SEA","SS",-0.8
2019,"SFG","SS",-1.4
2019,"STL","SS",3
2019,"TBR","SS",2
2019,"TEX","SS",-0.3
2019,"TOR","SS",2
2019,"WSN","SS",-0.5
2015,"ARI","LF",2.5
2015,"ATL","LF",-2.8
2015,"BAL","LF",-1.6
2015,"BOS","LF",-1.7
2015,"CHC","LF",-0.1
2015,"CHW","LF",-0.6
2015,"CIN","LF",-2.3
2015,"CLE","LF",0
2015,"COL","LF",-3.1
2015,"DET","LF",2
2015,"HOU","LF",-0.2
2015,"KCR","LF",1.4
2015,"LAA","LF",-2.5
2015,"LAD","LF",0.2
2015,"MIA","LF",0.4
2015,"MIL","LF",-0.5
2015,"MIN","LF",-0.2
2015,"NYM","LF",1.3
2015,"NYY","LF",0.7
2015,"OAK","LF",-1.2
2015,"PHI","LF",-0.7
2015,"PIT","LF",2
2015,"SDP","LF",1.9
2015,"SEA","LF",-0.7
2015,"SFG","LF",-0.7
2015,"STL","LF",0.7
2015,"TBR","LF",0.2
2015,"TEX","LF",-1.7
2015,"TOR","LF",-1.1
2015,"WSN","LF",-3.2
2016,"ARI","LF",-3.1
2016,"ATL","LF",-1.5
2016,"BAL","LF",-1.6
2016,"BOS","LF",0.8
2016,"CHC","LF",1.6
2016,"CHW","LF",0.1
2016,"CIN","LF",0.7
2016,"CLE","LF",0.5
2016,"COL","LF",-3.2
2016,"DET","LF",-1.1
2016,"HOU","LF",-0.3
2016,"KCR","LF",-0.8
2016,"LAA","LF",-2.9
2016,"LAD","LF",-1.9
2016,"MIA","LF",1.8
2016,"MIL","LF",1.3
2016,"MIN","LF",-1.8
2016,"NYM","LF",0.2
2016,"NYY","LF",0.6
2016,"OAK","LF",-1.1
2016,"PHI","LF",-4
2016,"PIT","LF",2.8
2016,"SDP","LF",0.5
2016,"SEA","LF",-0.6
2016,"SFG","LF",-0.4
2016,"STL","LF",-1.4
2016,"TBR","LF",-1
2016,"TEX","LF",-0.7
2016,"TOR","LF",-1.4
2016,"WSN","LF",-2.2
2017,"ARI","LF",-1.8
2017,"ATL","LF",-3.7
2017,"BAL","LF",-0.7
2017,"BOS","LF",-0.2
2017,"CHC","LF",-1.3
2017,"CHW","LF",-0.6
2017,"CIN","LF",-0.1
2017,"CLE","LF",0.7
2017,"COL","LF",-2.4
2017,"DET","LF",3.1
2017,"HOU","LF",0.8
2017,"KCR","LF",-2.7
2017,"LAA","LF",-0.6
2017,"LAD","LF",0.3
2017,"MIA","LF",3.2
2017,"MIL","LF",-1.1
2017,"MIN","LF",-0.6
2017,"NYM","LF",1.9
2017,"NYY","LF",1.9
2017,"OAK","LF",-0.3
2017,"PHI","LF",0.8
2017,"PIT","LF",-0.8
2017,"SDP","LF",-0.6
2017,"SEA","LF",-0.8
2017,"SFG","LF",-2.3
2017,"STL","LF",2.5
2017,"TBR","LF",0.9
2017,"TEX","LF",-1.3
2017,"TOR","LF",-1.4
2017,"WSN","LF",-2.5
2018,"ARI","LF",1.3
2018,"ATL","LF",1.5
2018,"BAL","LF",-1.5
2018,"BOS","LF",2.7
2018,"CHC","LF",0.5
2018,"CHW","LF",-2.8
